epoch,timestamp,average_loss,output1_loss,output2_loss,output3_loss
1,2025-03-07 20:39:28,-59.32808389489641,-58.69731386569368,-66.51870631044652,-54.40818983466686
2,2025-03-07 20:41:30,-79.61203515830161,-79.41266696192638,-89.19752681956572,-72.57243670936393
3,2025-03-07 20:43:31,-97.1362096321683,-96.04666105639033,-109.69906943184989,-88.53121800783302
4,2025-03-07 20:45:33,-112.42189981156037,-112.18254044476677,-125.52894342246177,-102.77112528055656
5,2025-03-07 20:47:35,-128.0058053281127,-128.87617774771041,-141.5661794838785,-117.18273425703289
6,2025-03-07 20:49:36,-144.63751175824333,-146.4780732483423,-158.79700155819162,-132.63746207101005
7,2025-03-07 20:51:38,-161.5677941586791,-164.9483991991572,-176.05091511702338,-148.16998489764558
8,2025-03-07 20:53:40,-178.87886983406645,-184.00810882824808,-193.60415162158614,-163.98796055897944
9,2025-03-07 20:55:42,-196.42540914070707,-203.1535293194426,-211.46295448110885,-180.10114358853892
10,2025-03-07 20:57:45,-212.51072846741235,-220.57530340627463,-227.81995731642266,-194.98035680947183
11,2025-03-07 20:59:47,-232.86242714248786,-242.71417428665802,-248.624828563017,-213.65179161264115
12,2025-03-07 21:01:50,-252.32102196957885,-263.8048159815684,-268.495476346056,-231.57731654062994
11,2025-03-11 19:26:42,-232.03869436568573,-241.86809033305704,-247.74783838095786,-212.884769984654
12,2025-03-11 19:29:17,-252.27977066681166,-263.771730695452,-268.4469649370979,-231.53538231088334
13,2025-03-11 19:31:52,-271.7929287437631,-284.9392688655052,-288.35100202800845,-249.51459637810203
14,2025-03-11 19:34:25,-290.7297413289046,-305.37782018324907,-307.6880970161502,-267.0248919575154
15,2025-03-11 19:37:00,-311.87558457831375,-328.3107592157957,-329.2659365870372,-286.5064077938304
16,2025-03-11 19:39:35,-332.6727428275998,-350.76966075736937,-350.5108319450827,-305.7214574733702
17,2025-03-11 19:42:09,-353.8835562056854,-373.7344242384454,-372.14886192514115,-325.29640184931395
11,2025-03-11 21:51:39,-232.77778587020745,-242.63235512100349,-248.53101983591287,-213.57191121077338
12,2025-03-11 21:54:15,-251.857161449785,-263.338355056378,-267.99780029809773,-231.14076450892858
13,2025-03-11 21:56:49,-272.23379093458675,-285.39728334571134,-288.8206490909352,-249.92100512079833
14,2025-03-11 21:59:23,-292.2326771712103,-307.0168023630351,-309.24607631138394,-268.3845184069722
15,2025-03-11 22:01:59,-312.484510662175,-328.93679835215335,-329.91100048417803,-287.0754013702649
16,2025-03-11 22:04:35,-329.9599552955948,-347.93602848854385,-347.637196132115,-303.21994358351253
17,2025-03-11 22:07:12,-352.4457956522453,-372.15478054014574,-370.6640840418199,-324.0003085096343
18,2025-03-11 22:09:49,-375.175560959247,-396.6507678632977,-393.91849626813615,-345.0119282698431
19,2025-03-11 22:12:25,-398.4184057412027,-421.84975196133144,-417.63788611147584,-366.43024733086594
20,2025-03-11 22:15:00,-421.8123748522847,-447.23303607331604,-441.4936910677357,-387.9858531791623
21,2025-03-11 22:17:36,-445.4390374191669,-472.7408611393776,-465.62551700367646,-409.8227726271173
